,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
376,quelimane,-17.88,36.89,65.93,90,8,5.21,MZ,1599439496
377,jacmel,18.23,-72.53,80.76,75,97,1.52,HT,1599439496
378,sao felix do xingu,20.51,76.21,73.35,90,100,3.83,IN,1599439477
379,vostok,46.49,135.88,72.18,56,95,2.21,RU,1599439497
380,leshukonskoye,64.9,45.76,56.66,96,100,5.06,RU,1599439497
381,puerto madero,36.59,-6.23,73.0,64,0,4.7,ES,1599439497
382,hazleton,40.96,-75.97,66.2,68,1,3.36,US,1599439498
383,datong,40.09,113.29,69.28,46,0,10.36,CN,1599439498
384,wamba,8.93,8.6,69.67,93,100,1.81,NG,1599439498
385,aviles,43.55,-5.92,64.0,82,20,2.24,ES,1599439499
386,cabatuan,10.88,122.49,85.28,72,100,2.15,PH,1599439499
